"","name","year","pressure","windspeed","radius","rainfall_mm","surge","Tors"
"130","DANIELLE",1992,1001,55,-999,106.68,NA,NA
"131","DANIELLE",1998,960,90,-999,NA,NA,NA
"132","DANIELLE",2004,964,95,75,NA,NA,NA
"133","DANIELLE",2010,942,115,150,NA,NA,NA
"134","DANIELLE",2016,1007,40,0,NA,NA,NA
"135","DANNY",1985,987,80,-999,248.92,2.44,NA
"136","DANNY",1991,998,45,-999,NA,NA,NA
"137","DANNY",1997,984,70,-999,932.434,1.99,13
"138","DANNY",2003,1000,65,-999,NA,NA,NA
"139","DANNY",2009,1006,50,120,NA,NA,NA
"140","DANNY",2015,960,110,30,NA,NA,NA
"141","DEAN",1983,999,55,-999,117.348,NA,NA
"142","DEAN",1989,968,90,-999,NA,NA,NA
"143","DEAN",1995,999,40,-999,447.04,NA,5
"144","DEAN",2001,994,60,-999,NA,NA,NA
"145","DEAN",2007,905,150,140,NA,NA,NA
"146","DEBBY",1982,950,115,-999,326.644,NA,NA
"147","DEBBY",1988,987,65,-999,662.686,NA,NA
"148","DEBBY",1994,1006,60,-999,NA,NA,NA
"149","DEBBY",2000,991,75,-999,308.864,NA,NA
"150","DEBBY",2006,999,45,0,NA,NA,NA
"151","DEBBY",2012,990,55,70,731.012,NA,25
"152","DEBBY",2018,998,45,0,NA,NA,NA
"153","DELTA",2005,980,60,120,NA,NA,NA
"154","DELTA",2020,953,120,50,446.278,NA,NA
"155","DENNIS",1981,-999,70,-999,649.224,NA,NA
"156","DENNIS",1987,1000,45,-999,NA,NA,NA
"157","DENNIS",1993,1000,45,-999,NA,NA,NA
"158","DENNIS",1999,962,90,-999,505.714,NA,1
"159","DENNIS",2005,930,130,100,325.12,2.74,10
"160","DIANA",1984,949,115,-999,482.092,NA,NA
"161","DIANA",1990,980,85,-999,556.768,NA,NA
"162","DOLLY",1996,989,70,-999,950.214,NA,1
"163","DOLLY",2002,997,50,-999,NA,NA,NA
"164","DOLLY",2008,963,85,50,381,1.22,6
"165","DOLLY",2014,1000,45,0,NA,NA,NA
"166","DOLLY",2020,1000,40,0,NA,NA,NA
"167","DON",2011,997,45,0,NA,NA,NA
"168","DON",2017,1005,45,0,NA,NA,NA
"169","DORIAN",2013,1002,50,20,NA,NA,NA
"170","DORIAN",2019,910,160,150,580.136,NA,NA
"171","EARL",1980,-999,65,-999,NA,NA,NA
"172","EARL",1986,979,90,-999,NA,NA,NA
"173","EARL",1992,990,55,-999,237.744,NA,NA
"174","EARL",1998,964,85,-999,415.544,2.44,15
"175","EARL",2004,1009,45,0,NA,NA,NA
"176","EARL",2010,927,125,120,131.826,NA,NA
"177","EARL",2016,979,75,50,NA,NA,NA
"178","EDOUARD",1984,998,55,-999,NA,NA,NA
"179","EDOUARD",1990,1003,40,-999,NA,NA,NA
"180","EDOUARD",1996,933,125,-999,161.798,NA,NA
"181","EDOUARD",2002,1002,55,-999,194.056,NA,NA
"182","EDOUARD",2008,996,55,30,164.592,NA,NA
"183","EDOUARD",2014,955,105,120,NA,NA,NA
"184","EDOUARD",2020,1005,40,0,NA,NA,NA
"185","EIGHT",2009,1008,30,0,NA,NA,NA
"186","EIGHT",2013,1008,30,0,NA,NA,NA
"187","EIGHT",2016,1010,30,0,NA,NA,NA
"188","ELENA",1985,953,110,-999,398.018,3.05,NA
"189","ELEVEN",2018,1007,30,0,NA,NA,NA
"190","EMILY",1981,966,80,-999,124.968,NA,NA
"191","EMILY",1987,958,110,-999,117.602,NA,NA
"192","EMILY",1993,960,100,-999,190.754,NA,NA
"193","EMILY",1999,1004,45,-999,NA,NA,NA
"194","EMILY",2005,929,140,100,132.08,1.52,11
"195","EMILY",2011,1003,45,0,157.734,NA,NA
"196","EMILY",2017,1001,50,20,182.626,NA,NA
"197","EPSILON",2005,981,75,70,NA,NA,NA
"198","EPSILON",2020,952,100,180,NA,NA,NA
"199","ERIKA",1991,997,50,-999,NA,NA,NA
"200","ERIKA",1997,946,110,-999,NA,NA,NA
"201","ERIKA",2003,986,65,-999,246.888,NA,NA
"202","ERIKA",2009,1004,45,0,201.168,NA,NA
"203","ERIKA",2015,1001,45,0,228.6,NA,NA
"204","ERIN",1989,968,90,-999,NA,NA,NA
